id,model,mle
ENSG00000007312,JTT,0
ENSG00000007312,WAG,0
ENSG00000007908,JTT,1.62885893434
ENSG00000007908,WAG,1.77952588369
ENSG00000011677,JTT,0
ENSG00000011677,WAG,0
ENSG00000022355,JTT,0
ENSG00000022355,WAG,0
ENSG00000036828,JTT,3.46235231157
ENSG00000036828,WAG,3.8029211536
ENSG00000049249,JTT,0
ENSG00000049249,WAG,0
ENSG00000075073,JTT,4.73170151493
ENSG00000075073,WAG,3.42829151693
ENSG00000078549,JTT,0
ENSG00000078549,WAG,0
ENSG00000082556,JTT,0
ENSG00000082556,WAG,0
ENSG00000089692,JTT,20.1122700922
ENSG00000089692,WAG,26.9817857901
ENSG00000092421,JTT,0
ENSG00000092421,WAG,0
ENSG00000094755,JTT,1.89109170297
ENSG00000094755,WAG,1.50159367525
ENSG00000101958,JTT,0
ENSG00000101958,WAG,0
ENSG00000102076,JTT,0
ENSG00000102076,WAG,0
ENSG00000102239,JTT,3.32999835336
ENSG00000102239,WAG,3.33011406926
ENSG00000102468,JTT,0.867560191892
ENSG00000102468,WAG,0.989484277985
ENSG00000104290,JTT,0
ENSG00000104290,WAG,0
ENSG00000105976,JTT,0
ENSG00000105976,WAG,0
ENSG00000106128,JTT,0
ENSG00000106128,WAG,0
ENSG00000107779,JTT,0
ENSG00000107779,WAG,0
ENSG00000108556,JTT,42.8260916096
ENSG00000108556,WAG,39.5517315772
ENSG00000108947,JTT,1.51543165593
ENSG00000108947,WAG,1.12396322192
ENSG00000109163,JTT,0
ENSG00000109163,WAG,0
ENSG00000109991,JTT,0
ENSG00000109991,WAG,0
ENSG00000110195,JTT,0
ENSG00000110195,WAG,0
ENSG00000110848,JTT,3.47107887392
ENSG00000110848,WAG,2.49406709777
ENSG00000111291,JTT,5.29597005999
ENSG00000111291,WAG,5.35090062205
ENSG00000112964,JTT,1.55125130447
ENSG00000112964,WAG,1.3425013659
ENSG00000113070,JTT,0.446844253453
ENSG00000113070,WAG,0.458581915293
ENSG00000115221,JTT,0
ENSG00000115221,WAG,0
ENSG00000115353,JTT,10.0774031253
ENSG00000115353,WAG,9.01906814581
ENSG00000116329,JTT,0
ENSG00000116329,WAG,0
ENSG00000116824,JTT,0
ENSG00000116824,WAG,0
ENSG00000117400,JTT,0
ENSG00000117400,WAG,0
ENSG00000118432,JTT,0
ENSG00000118432,WAG,0
ENSG00000119737,JTT,0
ENSG00000119737,WAG,0
ENSG00000120217,JTT,0.419524451994
ENSG00000120217,WAG,0.279372799795
ENSG00000120659,JTT,0.629090322577
ENSG00000120659,WAG,0.641241797042
ENSG00000120907,JTT,2.66240245731
ENSG00000120907,WAG,1.66463660364
ENSG00000121594,JTT,0
ENSG00000121594,WAG,0
ENSG00000121853,JTT,0.823696269961
ENSG00000121853,WAG,0.777477978961
ENSG00000121966,JTT,0
ENSG00000121966,WAG,0
ENSG00000122375,JTT,0
ENSG00000122375,WAG,0
ENSG00000122420,JTT,0
ENSG00000122420,WAG,0
ENSG00000124557,JTT,1.19423395904
ENSG00000124557,WAG,1.37369955254
ENSG00000124731,JTT,0.910909546307
ENSG00000124731,WAG,1.21908974382
ENSG00000125245,JTT,0
ENSG00000125245,WAG,0
ENSG00000126010,JTT,1.12987251192
ENSG00000126010,WAG,1.01552780604
ENSG00000127364,JTT,0
ENSG00000127364,WAG,0
ENSG00000128285,JTT,1.94344415015
ENSG00000128285,WAG,2.33584720272
ENSG00000128519,JTT,20.7573352276
ENSG00000128519,WAG,33.5590689702
ENSG00000129048,JTT,0.521589633706
ENSG00000129048,WAG,0.565536342655
ENSG00000130234,JTT,0
ENSG00000130234,WAG,0
ENSG00000132517,JTT,3.71530189422
ENSG00000132517,WAG,4.52379613426
ENSG00000132975,JTT,0
ENSG00000132975,WAG,0
ENSG00000133019,JTT,4.36259516789
ENSG00000133019,WAG,3.97739382091
ENSG00000133800,JTT,0
ENSG00000133800,WAG,0
ENSG00000134061,JTT,0.930111253292
ENSG00000134061,WAG,1.00705617378
ENSG00000134489,JTT,0.369286445455
ENSG00000134489,WAG,0.402891616252
ENSG00000134853,JTT,0
ENSG00000134853,WAG,0
ENSG00000135218,JTT,4.0067934789
ENSG00000135218,WAG,4.27089122144
ENSG00000135312,JTT,0.735770357393
ENSG00000135312,WAG,0.88377208288
ENSG00000135409,JTT,2.28139125731
ENSG00000135409,WAG,1.58669142211
ENSG00000135577,JTT,1.48398508833
ENSG00000135577,WAG,1.67888188284
ENSG00000135898,JTT,0.834943097912
ENSG00000135898,WAG,0.843810717117
ENSG00000135914,JTT,0
ENSG00000135914,WAG,0
ENSG00000135960,JTT,0.601567391683
ENSG00000135960,WAG,0.647295309523
ENSG00000135973,JTT,1.08067867287
ENSG00000135973,WAG,1.23667915325
ENSG00000136869,JTT,20.4247723116
ENSG00000136869,WAG,21.4172474719
ENSG00000137070,JTT,0
ENSG00000137070,WAG,0
ENSG00000137101,JTT,0
ENSG00000137101,WAG,0
ENSG00000137462,JTT,0.242679496937
ENSG00000137462,WAG,0.264960258354
ENSG00000137872,JTT,0
ENSG00000137872,WAG,0
ENSG00000138271,JTT,0
ENSG00000138271,WAG,0
ENSG00000139193,JTT,1.1911638404
ENSG00000139193,WAG,1.1854378132
ENSG00000139514,JTT,0
ENSG00000139514,WAG,0
ENSG00000139572,JTT,0
ENSG00000139572,WAG,0
ENSG00000139636,JTT,4.82147429667
ENSG00000139636,WAG,5.32238706977
ENSG00000139679,JTT,4.89720868505
ENSG00000139679,WAG,5.63487969058
ENSG00000139874,JTT,0
ENSG00000139874,WAG,0
ENSG00000140749,JTT,0
ENSG00000140749,WAG,0
ENSG00000144476,JTT,4.20124053803
ENSG00000144476,WAG,4.97024943547
ENSG00000144648,JTT,0
ENSG00000144648,WAG,0
ENSG00000144891,JTT,0.865008275483
ENSG00000144891,WAG,0.97555865918
ENSG00000146904,JTT,0
ENSG00000146904,WAG,0
ENSG00000147145,JTT,0
ENSG00000147145,WAG,0
ENSG00000147155,JTT,3.36970913242
ENSG00000147155,WAG,2.76871722206
ENSG00000147262,JTT,4.03746728303
ENSG00000147262,WAG,3.82468294359
ENSG00000147380,JTT,0
ENSG00000147380,WAG,0
ENSG00000147434,JTT,0
ENSG00000147434,WAG,0
ENSG00000148604,JTT,0
ENSG00000148604,WAG,0
ENSG00000149534,JTT,0.696736203053
ENSG00000149534,WAG,0.733851852024
ENSG00000150048,JTT,0.991770127536
ENSG00000150048,WAG,0.875724461938
